z_column,releases,R_DIS_all
ALL,2017-12-19 03:00:00,577.3327069140656
ALL,2017-12-19 04:00:00,521.4943448477198
ALL,2017-12-19 05:00:00,487.32400097921305
ALL,2017-12-19 06:00:00,476.89051984568664
ALL,2017-12-19 07:00:00,465.327187049196
ALL,2017-12-19 08:00:00,471.4357545572606
ALL,2017-12-19 09:00:00,465.80721867294636
ALL,2017-12-19 10:00:00,462.49338871416023
ALL,2017-12-19 11:00:00,458.9572762909687
ALL,2017-12-19 12:00:00,450.2790440396998
ALL,2017-12-19 13:00:00,445.963796477047
ALL,2017-12-19 14:00:00,439.1359764169116
ALL,2017-12-19 15:00:00,433.5301905154329
ALL,2017-12-19 16:00:00,425.4677471198244
ALL,2017-12-19 17:00:00,425.43278764140274
ALL,2017-12-19 18:00:00,413.89224352232253
ALL,2017-12-19 19:00:00,404.77969879350184
ALL,2017-12-19 20:00:00,401.9458978653546
ALL,2017-12-19 21:00:00,402.4179272084063
ALL,2017-12-19 22:00:00,394.8208804262058
ALL,2017-12-19 23:00:00,382.0330579048251
ALL,2017-12-20 00:00:00,368.17835454311034
ALL,2017-12-20 01:00:00,370.6124629899241
ALL,2017-12-20 02:00:00,361.9900619990312
ALL,2017-12-20 03:00:00,354.5488891599638
ALL,2017-12-20 04:00:00,342.9195220539906
ALL,2017-12-20 05:00:00,350.19494414632254
ALL,2017-12-20 06:00:00,347.8886945716781
ALL,2017-12-20 07:00:00,371.0794865137695
ALL,2017-12-20 08:00:00,392.39311990940473
ALL,2017-12-20 09:00:00,383.5294654341245
ALL,2017-12-20 10:00:00,373.17950745833366
ALL,2017-12-20 11:00:00,343.83796688931477
ALL,2017-12-20 12:00:00,314.7483173509469
ALL,2017-12-20 13:00:00,324.4320304128525
ALL,2017-12-20 14:00:00,325.062322350278
ALL,2017-12-20 15:00:00,331.71563859717537
ALL,2017-12-20 16:00:00,331.635980355159
ALL,2017-12-20 17:00:00,328.08016486371906
ALL,2017-12-20 18:00:00,346.59187460191663
ALL,2017-12-20 19:00:00,353.4167364501109
ALL,2017-12-20 20:00:00,364.7890115025892
ALL,2017-12-20 21:00:00,391.69023508162576
ALL,2017-12-20 22:00:00,390.84804107437975
ALL,2017-12-20 23:00:00,376.87684521758615
ALL,2017-12-21 00:00:00,397.7439120789097
ALL,2017-12-21 01:00:00,378.5183608792392
ALL,2017-12-21 02:00:00,363.9346070926516
ALL,2017-12-21 03:00:00,378.7053854552124
ALL,2017-12-21 04:00:00,377.0615079479102
ALL,2017-12-21 05:00:00,486.80955215076455
ALL,2017-12-21 06:00:00,529.5976889668134
ALL,2017-12-21 07:00:00,532.4098895053219
ALL,2017-12-21 08:00:00,519.2396115377217
ALL,2017-12-21 09:00:00,508.4159862442129
ALL,2017-12-21 10:00:00,500.0984335607966
ALL,2017-12-21 11:00:00,489.3128096162543
ALL,2017-12-21 12:00:00,472.4447009298599
ALL,2017-12-21 13:00:00,438.26161305833233
ALL,2017-12-21 14:00:00,408.10696441072133
ALL,2017-12-21 15:00:00,406.0301102090114
ALL,2017-12-21 16:00:00,415.6180295167363
ALL,2017-12-21 17:00:00,430.07324253693355
ALL,2017-12-21 18:00:00,436.47123605036694
ALL,2017-12-21 19:00:00,423.4810985908919
ALL,2017-12-21 20:00:00,425.51469307461406
ALL,2017-12-21 21:00:00,434.4797856416845
ALL,2017-12-21 22:00:00,436.11222301185626
ALL,2017-12-21 23:00:00,438.07164684077395
ALL,2017-12-22 00:00:00,429.14931769609143
ALL,2017-12-22 01:00:00,421.7062299954752
ALL,2017-12-22 02:00:00,418.14430565172654
ALL,2017-12-22 03:00:00,411.3380207728948
ALL,2017-12-22 04:00:00,411.3697596076018
ALL,2017-12-22 05:00:00,387.8352416297741
ALL,2017-12-22 06:00:00,375.2632490398324
ALL,2017-12-22 07:00:00,343.19850911685205
ALL,2017-12-22 08:00:00,330.7627951724891
ALL,2017-12-22 09:00:00,313.53948941584093
ALL,2017-12-22 10:00:00,316.67968738203245
ALL,2017-12-22 11:00:00,339.4001352702849
ALL,2017-12-22 12:00:00,332.35795621590387
ALL,2017-12-22 13:00:00,316.6400684615716
ALL,2017-12-22 14:00:00,316.15584704365943
ALL,2017-12-22 15:00:00,340.75442812566064
ALL,2017-12-22 16:00:00,341.9613782766933
ALL,2017-12-22 17:00:00,318.73559503999496
ALL,2017-12-22 18:00:00,298.8368366471931
ALL,2017-12-22 19:00:00,291.93743674143167
ALL,2017-12-22 20:00:00,304.07188671588654
ALL,2017-12-22 21:00:00,291.1331526536489
ALL,2017-12-22 22:00:00,288.9126732337628
ALL,2017-12-22 23:00:00,285.16954713900185
ALL,2017-12-23 00:00:00,279.8147766857925
ALL,2017-12-23 01:00:00,287.35911302610384
ALL,2017-12-23 02:00:00,277.93694863048273
ALL,2017-12-23 03:00:00,287.4549323711529
ALL,2017-12-23 04:00:00,290.83150553600444
ALL,2017-12-23 05:00:00,266.4045498596076
ALL,2017-12-23 06:00:00,262.08824199989925
ALL,2017-12-23 07:00:00,261.12218472522034
ALL,2017-12-23 08:00:00,256.18834831602516
ALL,2017-12-23 09:00:00,247.84266363333705
ALL,2017-12-23 10:00:00,248.86339970584137
ALL,2017-12-23 11:00:00,252.32806779921285
ALL,2017-12-23 12:00:00,242.12370540853502
