normalized,z_column,releases,conc_all
0,ALL,2017-12-18 12:00:00,342597.1456113332
0,ALL,2017-12-18 13:00:00,342316.41557085636
0,ALL,2017-12-18 14:00:00,341883.9994956003
0,ALL,2017-12-18 15:00:00,341375.7082394504
0,ALL,2017-12-18 16:00:00,340589.06581037346
0,ALL,2017-12-18 17:00:00,342625.26092041424
0,ALL,2017-12-18 18:00:00,342888.33065211633
0,ALL,2017-12-18 19:00:00,342366.4846002057
0,ALL,2017-12-18 20:00:00,342544.0541685427
0,ALL,2017-12-18 21:00:00,342951.5862690382
0,ALL,2017-12-18 22:00:00,342660.41487945174
0,ALL,2017-12-18 23:00:00,341316.3687569957
0,ALL,2017-12-19 00:00:00,339595.8217980893
0,ALL,2017-12-19 01:00:00,338264.96414208866
0,ALL,2017-12-19 02:00:00,337755.4142265081
0,ALL,2017-12-19 03:00:00,337130.8384183648
0,ALL,2017-12-19 04:00:00,341293.49428437906
0,ALL,2017-12-19 05:00:00,342838.29127687425
0,ALL,2017-12-19 06:00:00,342531.62448846124
0,ALL,2017-12-19 07:00:00,341664.01919228234
0,ALL,2017-12-19 08:00:00,339910.0739267972
0,ALL,2017-12-19 09:00:00,341656.6410002378
0,ALL,2017-12-19 10:00:00,339263.16285290656
0,ALL,2017-12-19 11:00:00,338202.25010645244
0,ALL,2017-12-19 12:00:00,336616.82101239264
0,ALL,2017-12-19 13:00:00,335797.19405638403
0,ALL,2017-12-19 14:00:00,337376.09194067976
0,ALL,2017-12-19 15:00:00,342153.649983259
0,ALL,2017-12-19 16:00:00,343264.88256362296
0,ALL,2017-12-19 17:00:00,343237.82288365235
0,ALL,2017-12-19 18:00:00,343342.5524581334
0,ALL,2017-12-19 19:00:00,342453.03240386647
0,ALL,2017-12-19 20:00:00,340606.06910818664
0,ALL,2017-12-19 21:00:00,341386.2644514765
0,ALL,2017-12-19 22:00:00,343142.16006258957
0,ALL,2017-12-19 23:00:00,343658.51789496397
0,ALL,2017-12-20 00:00:00,343305.7763043215
0,ALL,2017-12-20 01:00:00,342812.0837837485
