z_column,releases,ZSL_all
ALL,2017-12-24 07:00:00,6998.1705038558675
ALL,2017-12-24 08:00:00,6879.470226508901
ALL,2017-12-24 09:00:00,6818.427398398725
ALL,2017-12-24 10:00:00,6797.490957044277
ALL,2017-12-24 11:00:00,6833.010437111517
ALL,2017-12-24 12:00:00,6896.246437971246
ALL,2017-12-24 13:00:00,6897.66604398984
ALL,2017-12-24 14:00:00,6745.786857881546
ALL,2017-12-24 15:00:00,6708.569505075603
ALL,2017-12-24 16:00:00,6874.272147208981
ALL,2017-12-24 17:00:00,6877.146887699322
ALL,2017-12-24 18:00:00,8312.609773882556
ALL,2017-12-24 19:00:00,8245.34359457592
ALL,2017-12-24 20:00:00,8023.703671100733
ALL,2017-12-24 21:00:00,7968.464365990615
ALL,2017-12-24 22:00:00,7968.934373502587
ALL,2017-12-24 23:00:00,7719.003876008445
ALL,2017-12-25 00:00:00,7849.617437681583
ALL,2017-12-25 01:00:00,7643.129688625784
ALL,2017-12-25 02:00:00,7453.591860739869
ALL,2017-12-25 03:00:00,7401.271961165458
ALL,2017-12-25 04:00:00,7475.45433258929
ALL,2017-12-25 05:00:00,7658.766221925031
ALL,2017-12-25 06:00:00,7941.977440017035
ALL,2017-12-25 07:00:00,7762.610724390527
ALL,2017-12-25 08:00:00,7473.388321700048
ALL,2017-12-25 09:00:00,7409.568612701334
ALL,2017-12-25 10:00:00,7207.306619330383
ALL,2017-12-25 11:00:00,7137.721613265604
ALL,2017-12-25 12:00:00,7173.005453143773
ALL,2017-12-25 13:00:00,7072.748456328069
ALL,2017-12-25 14:00:00,7095.836722237505
ALL,2017-12-25 15:00:00,7272.253149742462
ALL,2017-12-25 16:00:00,6759.273581425327
ALL,2017-12-25 17:00:00,6490.633180851936
ALL,2017-12-25 18:00:00,5916.341653885996
ALL,2017-12-25 19:00:00,5757.165301918216
ALL,2017-12-25 20:00:00,5665.4821813633225
ALL,2017-12-25 21:00:00,6199.078306930204
ALL,2017-12-25 22:00:00,6699.547259112806
ALL,2017-12-25 23:00:00,6685.9381995535105
ALL,2017-12-26 00:00:00,6317.2556866605655
ALL,2017-12-26 01:00:00,6597.019426760366
ALL,2017-12-26 02:00:00,7034.547336981397
ALL,2017-12-26 03:00:00,7200.921327355859
ALL,2017-12-26 04:00:00,6925.622739871596
ALL,2017-12-26 05:00:00,6764.6787239532305
ALL,2017-12-26 06:00:00,6432.408430209049
ALL,2017-12-26 07:00:00,6328.336114401884
ALL,2017-12-26 08:00:00,6493.966110390104
ALL,2017-12-26 09:00:00,6433.940860324536
ALL,2017-12-26 10:00:00,6573.705304169208
ALL,2017-12-26 11:00:00,6755.916667387289
ALL,2017-12-26 12:00:00,6531.221356586271
ALL,2017-12-26 13:00:00,6081.3335726088435
ALL,2017-12-26 14:00:00,5584.701556610808
ALL,2017-12-26 15:00:00,5707.631945387244
ALL,2017-12-26 16:00:00,5704.687554449436
ALL,2017-12-26 17:00:00,5387.639509466649
ALL,2017-12-26 18:00:00,5335.026254803558
ALL,2017-12-26 19:00:00,5300.482225118802
ALL,2017-12-26 20:00:00,5288.894409994969
ALL,2017-12-26 21:00:00,5171.729793367158
ALL,2017-12-26 22:00:00,5101.355754860736
ALL,2017-12-26 23:00:00,5081.84889404613
ALL,2017-12-27 00:00:00,5254.31108094744
ALL,2017-12-27 01:00:00,5404.9153546087955
ALL,2017-12-27 02:00:00,5054.762728124324
ALL,2017-12-27 03:00:00,5038.087228840179
ALL,2017-12-27 04:00:00,5032.745062874292
ALL,2017-12-27 05:00:00,4953.404483795393
ALL,2017-12-27 06:00:00,5118.103940245275
ALL,2017-12-27 07:00:00,5298.573159267054
ALL,2017-12-27 08:00:00,5053.209226182176
ALL,2017-12-27 09:00:00,5188.945262021296
ALL,2017-12-27 10:00:00,4693.977046031963
ALL,2017-12-27 11:00:00,4836.009353006686
ALL,2017-12-27 12:00:00,5094.715919134615
ALL,2017-12-27 13:00:00,5435.479844651766
ALL,2017-12-27 14:00:00,5226.487741539963
ALL,2017-12-27 15:00:00,5167.699679357687
ALL,2017-12-27 16:00:00,5076.176500856339
ALL,2017-12-27 17:00:00,5246.3823405259445
ALL,2017-12-27 18:00:00,5408.767223480748
ALL,2017-12-27 19:00:00,5191.36648985171
ALL,2017-12-27 20:00:00,5217.024050034571
ALL,2017-12-27 21:00:00,5414.682654164281
ALL,2017-12-27 22:00:00,5152.782080603537
ALL,2017-12-27 23:00:00,5003.6512755409185
ALL,2017-12-28 00:00:00,4756.611072156903
ALL,2017-12-28 01:00:00,4667.593070885615
ALL,2017-12-28 02:00:00,4613.179319196378
ALL,2017-12-28 03:00:00,4652.084422430806
ALL,2017-12-28 04:00:00,4870.800907693092
ALL,2017-12-28 05:00:00,5322.465342140176
ALL,2017-12-28 06:00:00,5010.530469638177
ALL,2017-12-28 07:00:00,5005.344111679378
ALL,2017-12-28 08:00:00,4809.654211478375
